Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical Final,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Frank Axel Kalkbrenner,Boehringer Ingelheim Venture Fund,,,,Venture Capital,www.boehringer-ingelheim-venture.com,"Europe, Israel, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.34,$1.70,"Ingelheim am Rhein, Germany",www.boehringer-ingelheim-venture.com,Over $10 Billion,,,,,,,,,,,,
Igor Bogachev,Skolkovo Foundation,,,,Limited Partner,sk.ru,Russia,"Pre-SEED,Series A,SEED",Grant,$0.10,$0.50,"Moscow, Russia",sk.ru,Over $10 Billion,,,,,,,,,,,,
Sherman I. Chu,Grayhawk Capital,,,,Venture Capital,www.grayhawkcapital.us,Southwest,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$0.60,"Scottsdale, AZ",www.grayhawkcapital.us,$5B to $10B,,,,,,,,,,,,
Mina Sooch,Apjohn Ventures,,,,Venture Capital,www.apjohnventures.com,"Michigan, Midwest","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$2.00,,www.apjohnventures.com,$5B to $10B,,,,,,,,,,,,
Kevin Tanaka,Corner Ventures,,,,Venture Capital,cornerventures.com,"Asia, Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$2.00,"Palo Alto, CA",cornerventures.com,$5B to $10B,,,,,,,,,,,,
Frances Hu,Arrize Capital,,,,Venture Capital,www.arrizecapital.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$5.00,$100.00,"Hong Kong, Hong Kong",www.arrizecapital.com,$5B to $10B,,,,,,,,,,,,
Amit Shah,Artiman Ventures,,,,Venture Capital,www.artiman.com,"Canada, India, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$2.50,"Palo Alto, CA",www.artiman.com,$5B to $10B,,,,,,,,,,,,
Steve Hale,Album VC,,,,Venture Capital,www.album.vc,"California, Mountain","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.25,"Lehi, UT",www.album.vc,Under $5 Billion,,,,,,,,,,,,
Paul Grossinger,Gaingels,,,,Venture Capital,www.gaingels.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.05,"New York, NY",www.gaingels.com,Under $5 Billion,,,,,,,,,,,,
Philip James Ferneau,Borealis Ventures,,,,Venture Capital,www.borealis.vc,"United Kingdom, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.25,"Hanover, NH",www.borealis.vc,Under $5 Billion,,,,,,,,,,,,
Kyle A. Lefkoff,Boulder Ventures,,,,Venture Capital,www.boulderventures.com,"Colorado, Mid Atlantic","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$1.00,"Boulder, CO",www.boulderventures.com,Under $5 Billion,,,,,,,,,,,,
Christine Demode,Mérieux Equity Partners,,,,Growth/Expansion,www.merieux-partners.com,"Europe, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.57,$9.04,"Lyon, France",www.merieux-partners.com,$5B to $10B,,,,,,,,,,,,
Bernard Vogel,Endeavour Vision,,,,Venture Capital,www.endeavourvision.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$2.50,"Geneva, Switzerland",www.endeavourvision.com,$5B to $10B,,,,,,,,,,,,
Marie Klemchuk,Sequoia Capital,,,,Venture Capital,www.sequoiacap.com,"China, Europe, India, Israel, South America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$20.00,$0.01,"Menlo Park, CA",www.sequoiacap.com,$5B to $10B,,,,,,,,,,,,
Stephen M. Krupa,Psilos Group Managers,,,,Venture Capital,www.psilos.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.80,$2.50,"New York, NY",www.psilos.com,$5B to $10B,,,,,,,,,,,,
Sourish Ghosh,Atland Ventures,,,,Venture Capital,www.atlandventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"Minneapolis, MN",www.atlandventures.com,$5B to $10B,,,,,,,,,,,,
Axel Bichara,Bolt Innovation Group,,,,Venture Capital,www.bolt.io,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.15,"Boston, MA",www.bolt.io,Over $10 Billion,,,,,,,,,,,,
Darwin Ling,Good AI Capital,,,,Venture Capital,www.goodai.capital,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.30,$4.00,,www.goodai.capital,Over $10 Billion,,,,,,,,,,,,
Mark M. Colodny,Warburg Pincus,,,,PE/Buyout,www.warburgpincus.com,"Brazil, Canada, China, Europe, Hong Kong, India, Middle East, Southeast Asia, Taiwan, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$100.00,$2.00,"New York, NY",www.warburgpincus.com,Over $10 Billion,No,83,10X and above,Acquisition,Heavily Supportive,Heavily Involved ,Months,2,9%,High,28%,Case by case
Andrew Krowne,Dolby Family Ventures,,,,Venture Capital,www.dolbyventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.30,$0.50,,www.dolbyventures.com,Under $5 Billion,,,,,,,,,,,,
Ajay Agarwal,Bain Capital Ventures,,,,Venture Capital,www.baincapitalventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$10.00,"Boston, MA",www.baincapitalventures.com,Under $5 Billion,,,,,,,,,,,,
Bernard W. Gray,Gray Ventures,,,,Venture Capital,www.grayventures.com,"Northeast, Northwest, Southeast, Southern California, Southwest, US Territories","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.grayventures.com,Under $5 Billion,,,,,,,,,,,,
Kevin Raidy,Cowen Healthcare Investments,,,,Venture Capital,,"United States, Western Europe","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$2.00,"New York, NY",,$5B to $10B,,,,,,,,,,,,
Albert L. Wiegman,Fresenius Medical Care Ventures,,,,Corporate Venture Capital,www.fmcv.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$5.00,"Bad Homburg, Germany",www.fmcv.com,$5B to $10B,,,,,,,,,,,,
Victor Thorne,Broadline Capital,,,,Venture Capital,www.broadlinecapital.com,"Asia, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$3.00,"New York, NY",www.broadlinecapital.com,$5B to $10B,,,,,,,,,,,,
Ian Bund,MBW Venture Partners,,,,Venture Capital,,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$3.00,,,$5B to $10B,,,,,,,,,,,,
Steven A. Markowitz,Goldin Ventures,,,,Family Office,www.goldinventures.com,Mid Atlantic,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.10,"Macungie, PA",www.goldinventures.com,$5B to $10B,,,,,,,,,,,,
Stuart Larkins,Chicago Ventures,,,,Venture Capital,www.chicagoventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$3.00,"Chicago, IL",www.chicagoventures.com,$5B to $10B,,,,,,,,,,,,
Paul R. Batcheller,PrairieGold Venture Partners,,,,Venture Capital,www.pgvp.com,Midwest,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.10,"Sioux Falls, SD",www.pgvp.com,Over $10 Billion,,,,,,,,,,,,
Lydia Idem,LoftyInc Capital Management,,,,Venture Capital,www.loftyinccapital.vc,Western Africa,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.30,"Lagos, Nigeria",www.loftyinccapital.vc,Over $10 Billion,,,,,,,,,,,,
Chaim Meir Tessler,OurCrowd,,,,Venture Capital,www.ourcrowd.com,"Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$2.00,"New York, NY",www.ourcrowd.com,Over $10 Billion,,,,,,,,,,,,
Sunil Nagaraj,Ubiquity Ventures,,,,Venture Capital,www.ubiquity.vc,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$2.00,,www.ubiquity.vc,Under $5 Billion,,,,,,,,,,,,
Venkat V. Srinivasan,Innospark Ventures,,,,Venture Capital,www.innosparkventures.com,New England,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.50,"Boston, MA",www.innosparkventures.com,Under $5 Billion,,,,,,,,,,,,
Peter Livingston,Unpopular Ventures,,,,Venture Capital, https://venture.angellist.com/unpopularvc/syndicate, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.10,"Seattle, WA", ,Under $5 Billion,,,,,,,,,,,,
Philip H. Reicherz,Magnolia Ventures (New York),,,,Venture Capital,www.magventuresllc.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"New York, NY",www.magventuresllc.com,Under $5 Billion,,,,,,,,,,,,
Frederick C. Tecce,Cross Atlantic Capital Partners,,,,Venture Capital,www.xacp.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$0.70,"Radnor, PA",www.xacp.com,Over $10 Billion,Yes,100,2X - 5X,"Acquisition,Liquidation",Heavily Supportive,Via Due Diligence Committee,Months,3,35%,Low,0%,Yes
Glenn Argenbright,Quake Capital,,,,Accelerator/Incubator,www.quakecapital.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.02,"Austin, TX",www.quakecapital.com,Over $10 Billion,,,,,,,,,,,,
,Rustic Canyon Partners,,,,Venture Capital,www.rusticcanyon.com,"California, Southeast, Southwest, Washington","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$1.00,"Santa Monica, CA",www.rusticcanyon.com,Over $10 Billion,,,,,,,,,,,,
Matthew W. De Dominicis,Norwest Venture Partners,,,,Venture Capital,www.nvp.com,"India, Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$2.00,$15.00,"Palo Alto, CA",www.nvp.com,Over $10 Billion,,,,,,,,,,,,
Andrew More,BlueStone Venture Partners,,,,Venture Capital,www.bluestonevp.com,Southwest,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$1.00,,www.bluestonevp.com,$5B to $10B,,,,,,,,,,,,
Sena K. Biswas,VIMAC Ventures,,,,Venture Capital,www.vimac.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$15.00,,www.vimac.com,$5B to $10B,,,,,,,,,,,,
Arlan Hamilton,Backstage Capital,,,,Venture Capital,www.backstagecapital.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"Los Angeles, CA",www.backstagecapital.com,$5B to $10B,,,,,,,,,,,,
Kevin Melia,Storm Ventures,,,,Venture Capital,www.stormventures.com,"Asia, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.50,"Menlo Park, CA",www.stormventures.com,$5B to $10B,,,,,,,,,,,,
Vasudev Badarinarayan Kulkarni,CourtsideVC,,,,Venture Capital,www.courtsidevc.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$2.50,"New York, NY",www.courtsidevc.com,$5B to $10B,,,,,,,,,,,,
William R. Baumel,RWI Ventures,,,,Venture Capital,www.rwiventures.com,"Asia, Middle East, North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$10.00,,www.rwiventures.com,Over $10 Billion,,,,,,,,,,,,
James C. Gale,Signet Healthcare Partners,,,,Growth/Expansion,www.signethealthcarepartners.com,"Europe, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$1.50,"New York, NY",www.signethealthcarepartners.com,Over $10 Billion,,,,,,,,,,,,
,Deep Space Ventures,,,,Venture Capital,www.deepspacevc.com,Texas,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Dallas, TX",www.deepspacevc.com,Over $10 Billion,,,,,,,,,,,,
Carey Ng,Mesa Verde Venture Partners,,,,Venture Capital,www.mesaverdevp.com,"Southern California, Southwest","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.15,"La Jolla, CA",www.mesaverdevp.com,Under $5 Billion,,,,,,,,,,,,
Thomas Lavin,New Science Ventures,,,,Venture Capital,www.newscienceventures.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$0.80,"New York, NY",www.newscienceventures.com,Under $5 Billion,,,,,,,,,,,,
,Global Coin Ventures,,,,Venture Capital,www.globalcoin.ventures,"Asia, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.05,"New York, NY",www.globalcoin.ventures,Under $5 Billion,,,,,,,,,,,,
Ryan Baker,Ignition Partners,,,,Venture Capital,www.ignition.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.60,$1.00,"Bellevue, WA",www.ignition.vc,Under $5 Billion,,,,,,,,,,,,
Neal Mody,Zoic Capital,,,,Venture Capital,www.zoiccapital.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$2.50,"Seattle, WA",www.zoiccapital.com,$5B to $10B,,,,,,,,,,,,
Steve P. Westly,The Westly Group,,,,Venture Capital,www.westlygroup.com,"Europe, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.50,"Menlo Park, CA",www.westlygroup.com,$5B to $10B,No,200,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,5,501%,High,0%,No
Michael Lee,Dominion Ventures,,,,Venture Capital,www.dominion.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.50,"Walnut Creek, CA",www.dominion.com,$5B to $10B,,,,,,,,,,,,
Giuseppe Zocco,Index Ventures,,,,Venture Capital,www.indexventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$80.00,"San Francisco, CA",www.indexventures.com,$5B to $10B,,,,,,,,,,,,
Roger Hungerford,Talis Equity,,,,Venture Capital,www.talisequity.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$10.00,,www.talisequity.com,$5B to $10B,,,,,,,,,,,,
Charles E. Haberkorn,Stonehenge Capital,,,,Growth/Expansion,www.stonehengecapital.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.stonehengecapital.com,Over $10 Billion,,,,,,,,,,,,
Ross Edward Baird,Village Capital,,,,Accelerator/Incubator,www.vilcap.com,"Africa, Central America, East Asia, Europe, Middle East, South America, South Asia, Southeast Asia, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.01,"Washington, DC",www.vilcap.com,Over $10 Billion,No,70,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Weeks,4,5%,Medium,89%,Case by case
Clive Sherling,Bridges Fund Management,,,,Asset Manager,www.bridgesfundmanagement.com,"Canada, Central America, Europe, North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.27,$2.70,"London, United Kingdom",www.bridgesfundmanagement.com,Over $10 Billion,,,,,,,,,,,,
Mark Suster,Upfront Ventures,,,,Venture Capital,www.upfront.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$3.00,$0.05,"Santa Monica, CA",www.upfront.com,Over $10 Billion,Yes,300,10X and above,"IPO,Liquidation",Heavily Supportive,Outside Reliance,Months,5,50%,Low,67%,No
Joshua Cohen,City Light Capital,,,,Venture Capital,www.citylight.vc,"North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.30,"New York, NY",www.citylight.vc,Under $5 Billion,,,,,,,,,,,,
Don Douglas,Geekdom Fund,,,,Venture Capital,www.geekdomfund.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"San Antonio, TX",www.geekdomfund.com,Under $5 Billion,,,,,,,,,,,,
George M. Weiss,Beechtree Capital,,,,Venture Capital,www.beechtreecapital.com,"Midwest, Northwest, West Coast","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$1.00,"Scottsdale, AZ",www.beechtreecapital.com,Under $5 Billion,,,,,,,,,,,,
Shomit Ghose,ONSET Ventures,,,,Venture Capital,www.onset.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$5.00,$12.00,"Menlo Park, CA",www.onset.com,Under $5 Billion,,,,,,,,,,,,
,Signal Lake Management,,,,Venture Capital,www.signallake.com,Northeast,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$10.00,"Westport, CT",www.signallake.com,Under $5 Billion,,,,,,,,,,,,
Hikaru Saito,Astellas Venture Management,,,,Corporate Venture Capital,www.astellasventure.com,"Asia, Europe, North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.00,"Brisbane, CA",www.astellasventure.com,Under $5 Billion,,,,,,,,,,,,
David Lichtenstein,Sycamore Ventures,,,,PE/Buyout,www.sycaventures.com,"East Asia, India, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.30,"Princeton, NJ",www.sycaventures.com,$5B to $10B,,,,,,,,,,,,
Steve Christensen,Highmark Health Ventures,,,,Venture Capital,www.highmarkhealth.org,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.00,"Pittsburgh, PA",www.highmarkhealth.org,$5B to $10B,,,,,,,,,,,,
David J. Parker,Ampersand Capital Partners,,,,Growth/Expansion,www.ampersandcapital.com,"Europe, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$10.00,"Wellesley, MA",www.ampersandcapital.com,$5B to $10B,,,,,,,,,,,,
Jeff Eggers,R2 Risk & Return,,,,Venture Capital,www.riskandreturn.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$2.00,"McLean, VA",www.riskandreturn.com,$5B to $10B,,,,,,,,,,,,
Ryan Swagar,Hinge Capital,,,,Venture Capital,www.hingecapital.com,"Americas, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.00,,www.hingecapital.com,$5B to $10B,,,,,,,,,,,,
Elad Gilo,Gilo Ventures,,,,Venture Capital,www.giloventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$20.00,"Los Gatos, CA",www.giloventures.com,Over $10 Billion,,,,,,,,,,,,
David Cohen,Techstars,,,,Accelerator/Incubator,www.techstars.com,"Africa, Americas, Asia, Canada, Middle East, Oceania, United Kingdom, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.02,"Boulder, CO",www.techstars.com,Over $10 Billion,,,,,,,,,,,,
Philippe Collombel,Partech,,,,Venture Capital,www.partechpartners.com,"Africa, Americas, Asia, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$5.88,"Paris, France",www.partechpartners.com,Over $10 Billion,,,,,,,,,,,,
Aileen Lee,Cowboy Ventures,,,,Venture Capital,www.cowboy.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.40,"Palo Alto, CA",www.cowboy.vc,Over $10 Billion,,,,,,,,,,,,
Robert F. Johnston,Johnston Associates,,,,Venture Capital,www.jaivc.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.30,$3.00,,www.jaivc.com,Under $5 Billion,,,,,,,,,,,,
Kamini Ramani,Mayfield (Private Equity),,,,Venture Capital,www.mayfield.com,"India, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.50,$0.05,"Menlo Park, CA",www.mayfield.com,Under $5 Billion,,,,,,,,,,,,
Brett Berson,First Round Capital,,,,Venture Capital,www.firstround.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.08,$0.40,"Philadelphia, PA",www.firstround.com,Under $5 Billion,,,,,,,,,,,,
,Juvo Capital,,,,Venture Capital,www.juvocapital.com, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$1.00,"Pasadena, CA",www.juvocapital.com,Under $5 Billion,,,,,,,,,,,,
Tony Schell,Escalate Capital Partners,,,,Mezzanine,www.escalatecapital.com,United States,"Pre-SEED,Series A,SEED",Debt,$0.30,$1.50,"Austin, TX",www.escalatecapital.com,$5B to $10B,,,,,,,,,,,,
Michael Biggee,Trident Capital,,,,Venture Capital,www.tridentcap.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$30.00,"San Mateo, CA",www.tridentcap.com,$5B to $10B,,,,,,,,,,,,
Nisa Amoils,A100x,,,,Venture Capital,Www.a100x.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.25,"New York, NY",Www.a100x.com,$5B to $10B,,,,,,,,,,,,
Curtis R Nelson,Iowa Seed Fund,,,,Venture Capital,www.isf2.com,Iowa,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Cedar Rapids, IA",www.isf2.com,Over $10 Billion,,,,,,,,,,,,
Pang Heng Soon,SGInnovate,,,,Venture Capital,www.sginnovate.com,Singapore,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.sginnovate.com,Over $10 Billion,,,,,,,,,,,,
Saurabh Sharma,Jump Capital,,,,Venture Capital,www.jumpcap.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$10.00,,www.jumpcap.com,Over $10 Billion,,,,,,,,,,,,
Palaniswamy V. Rajan,CTW Venture Partners,,,,Venture Capital,www.ctwvp.com,Southeast,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.30,"Cumming, GA",www.ctwvp.com,Over $10 Billion,,,,,,,,,,,,
Philip A. Benyola,Bessemer Trust,,,,Family Office,www.bessemertrust.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$5.00,$50.00,"New York, NY",www.bessemertrust.com,Under $5 Billion,,,,,,,,,,,,
,Idinvest Partners,,,,PE/Buyout,www.idinvest.com,"Europe, South Asia","Pre-SEED,Series A,SEED","Debt,Loan",$11.66,$0.01,"Paris, France",www.idinvest.com,Under $5 Billion,,,,,,,,,,,,
David Lau-Kee,London Venture Partners,,,,Venture Capital,www.londonvp.com,Europe,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.06,"London, United Kingdom",www.londonvp.com,Under $5 Billion,,,,,,,,,,,,
MacKenzie Ward,Oklahoma Life Science Fund,,,,Venture Capital,www.olsfventures.com,Oklahoma,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.06,"Tulsa, OK",www.olsfventures.com,Under $5 Billion,,,,,,,,,,,,
Paul A. Maeder,Highland Capital Partners,,,,Venture Capital,www.hcp.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$1.00,"Cambridge, MA",www.hcp.com,$5B to $10B,,,,,,,,,,,,
Yoram Katz,Impact Capital (New York),,,,Venture Capital,www.impactcapitalny.com,NY Other,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.20,"Pittsford, NY",www.impactcapitalny.com,$5B to $10B,,,,,,,,,,,,
Richard Upton,Harbor Light Capital Partners,,,,Venture Capital,www.hlcp.com,"Arizona, Colorado, Idaho, Nevada, New England, New Mexico, Utah","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.hlcp.com,$5B to $10B,,,,,,,,,,,,
David Samuel,Freestyle Capital,,,,Venture Capital,www.freestyle.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.18,"Mill Valley, CA",www.freestyle.vc,$5B to $10B,,,,,,,,,,,,
