Investor Name,Fund from Fund Master,Industry,Industry Copy,Vertical,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Max Check size,Min check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Amitt Mahajan,Presence Capital,Software,,"Augmented Reality,Virtual Reality",Venture Capital,www.presencecap.com, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.10,"San Francisco, CA",www.presencecap.com,,,,,,,,,,,,,,,
Jesse Singerman,Prairie Ventures,"Consumer Durables,Media,Software",,"HealthTech,Manufacturing,Real Estate Technology,TMT",Venture Capital,www.prairieventures.net,"Canada, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",8.00,0.05,"Omaha, NE",www.prairieventures.net,,,,,,,,,,,,,,,
John H. Willmoth,Poplar Ventures,Software,,"CloudTech & DevOps,Mobile,TMT",Venture Capital,www.poplarventures.com,"Central America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",2.50,0.50,"Louisville, KY",www.poplarventures.com,,,,,,,,,,,,,,,
Tim J. Connors,PivotNorth Capital,"Commercial Services,Software",,TMT,Venture Capital,www.pivotnorth.com, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",3.00,0.10,"Atherton, CA",www.pivotnorth.com,,,,,,,,,,,,,,,
,Phoenix Partners,"IT Services,Software",,TMT,Venture Capital,www.phoenixvc.com,United States,"Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",2.00,0.50,"Seattle, WA",www.phoenixvc.com,,,,,,,,,,,,,,,
Paul R. Batcheller,PrairieGold Venture Partners,"Energy Equipment,Exploration,Production and Refining,Healthcare Devices and Supplies",,"CleanTech,Digital Health,Life Sciences,LOHAS & Wellness,TMT",Venture Capital,www.pgvp.com,Midwest,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"Sioux Falls, SD",www.pgvp.com,,,,,,,,,,,,,,,
Jake Kastan,Peterson Partners,"Commercial Services,Healthcare Services,Services (Non-Financial),Software",,"E-Commerce,FinTech,Industrials,Internet of Things,LOHAS & Wellness,Manufacturing,SaaS,TMT",PE/Buyout,www.petersonpartners.com,"Brazil, Canada, Europe, India, Mexico, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",25.00,0.25,"Salt Lake City, UT",www.petersonpartners.com,,,,,,,,,,,,,,,
Cindy Revol,Perot Jain,"Commercial Services,Healthcare Technology Systems,Software",,"Artificial Intelligence & Machine Learning,Augmented Reality,Autonomous cars,Big Data,Construction Technology,Cryptocurrency/Blockchain,HealthTech,Industrials,Internet of Things,Manufacturing,Mobility Tech,Real Estate Technology,Robotics and Drones,SaaS,TMT,Virtual Reality",Venture Capital,www.perotjain.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.10,"Dallas, TX",www.perotjain.com,,,,,,,,,,,,,,,
Joseph Edelman,Perceptive Advisors,Pharmaceuticals and Biotechnology,,"Digital Health,HealthTech,Life Sciences",Hedge Fund,www.perceptivelife.com,United States,"Add-on,Early Stage,IPO,Late Stage,Seed","Convertible Debt,SAFE,Debt",100.00,10.00,"New York, NY",www.perceptivelife.com,,,,,,,,,,,,,,,
Michael Oporto,Patricia Industries,Software,,TMT,PE/Buyout,www.patriciaindustries.com,"North America, Northern Europe","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",700.00,200.00,"Stockholm, Sweden",www.patriciaindustries.com,,,,,,,,,,,,,,,
Pascal Levensohn,Pascal Levensohn,"Communications and Networking,Software",,"3D Printing,SaaS,TMT",Venture Capital,www.pascallevensohn.com,California,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,5.00,"San Francisco, CA",www.pascallevensohn.com,,,,,,,,,,,,,,,
Terry Kay,Pasadena Angels,Software,,"Internet of Things,Mobile,SaaS,TMT",Angel Group,www.pasadenaangels.com,Southern California,"Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.10,"Altadena, CA",www.pasadenaangels.com,,,,,,,,,,,,,,,
Philippe Collombel,Partech,"Communications and Networking,Healthcare Devices and Supplies,Healthcare Technology Systems,Media,Other Business Products and Services,Other Consumer Products and Services,Other Financial Services,Other Healthcare,Other Information Technology,Pharmaceuticals and Biotechnology,Software",,"AdTech,Advanced Manufacturing,Artificial Intelligence & Machine Learning,Autonomous cars,B2B Payments,Big Data,Car-Sharing,CleanTech,CloudTech & DevOps,Cybersecurity,Digital Health,E-Commerce,EdTech,FinTech,FoodTech,Gaming,HealthTech,HR Tech,Infrastructure,InsurTech,Internet of Things,Legal Tech,Life Sciences,LOHAS & Wellness,Manufacturing,Micro-Mobility,Mobile,Mobile Commerce,Mobility Tech,Nanotechnology,Pet Technology,Real Estate Technology,Robotics and Drones,SaaS,TMT,Virtual Reality",Venture Capital,www.partechpartners.com,"Africa, Americas, Asia, Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",58.83,0.24,"Paris, France",www.partechpartners.com,,,,,,,,,,,,,,,
John Pappajohn,Pappajohn Capital Resources,"Commercial Products,Software",,SaaS,Venture Capital,www.pappajohn.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.10,"Des Moines, IA",www.pappajohn.com,,,,,,,,,,,,,,,
Janelle Goulard,Pangaea Ventures,"Energy,Healthcare,Materials and Resources",,"Advanced Manufacturing,AgTech,CleanTech,Climate Tech,FoodTech,HealthTech,Impact Investing,Industrials,Life Sciences,Manufacturing,Nanotechnology",Venture Capital,www.pangaeaventures.com,"Canada, United States","Early Stage,Late Stage","Convertible Debt,SAFE,Debt",5.00,4.00,"Vancouver, Canada",www.pangaeaventures.com,,,,,,,,,,,,,,,
Chaim Meir Tessler,OurCrowd,"Agriculture,Business Products and Services (B2B),Communications and Networking,Computer Hardware,Consumer Durables,Energy,Healthcare,Other Consumer Products and Services,Other Financial Services,Retail,Software,Transportation",,"3D Printing,AdTech,Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,B2B Payments,Big Data,Cannabis,CleanTech,Construction Technology,Cybersecurity,Digital Health,E-Commerce,EdTech,eSports,FinTech,FoodTech,Gaming,HealthTech,HR Tech,Impact Investing,Industrials,Infrastructure,InsurTech,Internet of Things,Life Sciences,Manufacturing,Marketing Tech,Mobile,Mobile Commerce,Mobility Tech,Oncology,Real Estate Technology,Robotics and Drones,SaaS,Space Technology,Supply Chain Tech,Virtual Reality,Wearables & Quantified Self",Venture Capital,www.ourcrowd.com,"Israel, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",20.00,1.00,"New York, NY",www.ourcrowd.com,,,,,,,,,,,,,,,
Marc Yagjian,Origin Partners,"Semiconductors,Software",,TMT,Venture Capital,www.originpartners.com,"Northeast, Texas","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,2.00,"Hillsborough, NJ",www.originpartners.com,,,,,,,,,,,,,,,
Sean Casey,Omphalos Venture Partners,"Business Products and Services (B2B),Consumer Products and Services (B2C),Healthcare Devices and Supplies",,"Artificial Intelligence & Machine Learning,Digital Health,Internet of Things,Manufacturing,Nanotechnology,Robotics and Drones,SaaS",Venture Capital,www.omphalosventures.net,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"Shakopee, MN",www.omphalosventures.net,,,,,,,,,,,,,,,
Michael Kubzansky,Omidyar Network,Software,,"Mobile,TMT",Impact Investing,www.omidyar.com,"Africa, Asia, Central America, Europe, South America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",Grant,10.00,0.50,"Redwood City, CA",www.omidyar.com,,,,,,,,,,,,,,,
MacKenzie Ward,Oklahoma Life Science Fund,"Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology",,"HealthTech,TMT",Venture Capital,www.olsfventures.com,Oklahoma,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.60,0.20,"Tulsa, OK",www.olsfventures.com,,,,,,,,,,,,,,,
Melissa Mears,Octopus Ventures,"Apparel and Accessories,Commercial Products,Commercial Services,Financial Services,Healthcare,Information Technology",,"3D Printing,Artificial Intelligence & Machine Learning,B2B Payments,CleanTech,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,FemTech,FinTech,HealthTech,InsurTech,Internet of Things,Legal Tech,Life Sciences,LOHAS & Wellness,Mobile,Mobility Tech,Mortgage Tech,Nanotechnology,Robotics and Drones,SaaS,Virtual Reality",Venture Capital,www.octopusventures.com,Europe,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",13.28,1.33,"London, United Kingdom",www.octopusventures.com,,,,,,,,,,,,,,,
James Dugan,OCA Ventures,"Capital Markets/Institutions,Commercial Banks,Communications and Networking,Computer Hardware,Educational and Training Services (B2C),Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Insurance,IT Services,Other Financial Services,Other Healthcare,Other Information Technology,Pharmaceuticals and Biotechnology,Semiconductors,Software",,"Digital Health,EdTech,FinTech,HealthTech,SaaS,TMT",Venture Capital,www.ocaventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.00,0.05,"Chicago, IL",www.ocaventures.com,,,,,,,,,,,,,,,
Ariel Arrieta,NXTP Ventures,"Business Products and Services (B2B),Financial Services,Software",,"Artificial Intelligence & Machine Learning,FinTech,Mobility Tech,SaaS,Supply Chain Tech,TMT",Venture Capital,www.nxtp.vc,"Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Mexico, Panama, Paraguay, Peru, Uruguay, Venezuela","Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.50,"Buenos Aires, Argentina",www.nxtp.vc,,,,,,,,,,,,,,,
Gordon Hoffman,Northwest Technology Ventures,"Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology,Software",,"Industrials,Manufacturing,Nanotechnology,TMT",Venture Capital,www.nwtechventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"Portland, OR",www.nwtechventures.com,,,,,,,,,,,,,,,
Bryant Hayward,North West Quadrant Ventures,"Business Products and Services (B2B),Consumer Products and Services (B2C),Financial Services,Other Information Technology",,"AgTech,Big Data,Construction Technology,Cryptocurrency/Blockchain,EdTech,FinTech,FoodTech,HealthTech,Industrials,Internet of Things,Life Sciences,Manufacturing,Nanotechnology,Oncology,Robotics and Drones,SaaS,Space Technology,Wearables & Quantified Self",Family Office,www.nwqventures.com,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",250.00,50.00,"Menlo Park, CA",www.nwqventures.com,,,,,,,,,,,,,,,
Matthew W. De Dominicis,Norwest Venture Partners,"Communications and Networking,Healthcare,Software",,"3D Printing,B2B Payments,E-Commerce,EdTech,FinTech,Mobile,SaaS,TMT",Venture Capital,www.nvp.com,"India, Israel, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",150.00,20.00,"Palo Alto, CA",www.nvp.com,,,,,,,,,,,,,,,
Nicholas Chirls,Notation Capital,"Consumer Products and Services (B2C),Financial Services,Healthcare,Software",,"Artificial Intelligence & Machine Learning,Climate Tech,Cryptocurrency/Blockchain,EdTech,FinTech,HealthTech,Infrastructure,TMT",Venture Capital,www.notation.vc,New York,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.40,0.10,"Brooklyn, NY",www.notation.vc,,,,,,,,,,,,,,,
Amit Sanghvi,Northzone Ventures,"Computer Hardware,Construction (Non-Wood),Healthcare,Semiconductors,Services (Non-Financial),Software",,"Artificial Intelligence & Machine Learning,Cryptocurrency/Blockchain,E-Commerce,EdTech,FinTech,FoodTech,Gaming,Infrastructure,Micro-Mobility,Mobile,SaaS,TMT",Venture Capital,www.northzone.com,"Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",29.42,1.18,"London, United Kingdom",www.northzone.com,,,,,,,,,,,,,,,
Wendy Xiao Schadeck,Northzone Ventures,"Computer Hardware,Construction (Non-Wood),Healthcare,Semiconductors,Services (Non-Financial),Software",,"Artificial Intelligence & Machine Learning,Cryptocurrency/Blockchain,E-Commerce,EdTech,FinTech,FoodTech,Gaming,Infrastructure,Micro-Mobility,Mobile,SaaS,TMT",Venture Capital,www.northzone.com,"Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",29.42,1.18,"London, United Kingdom",www.northzone.com,,,,,,,,,,,,,,,
Jackson Heddy,Northzone Ventures,"Computer Hardware,Construction (Non-Wood),Healthcare,Semiconductors,Services (Non-Financial),Software",,"Artificial Intelligence & Machine Learning,Cryptocurrency/Blockchain,E-Commerce,EdTech,FinTech,FoodTech,Gaming,Infrastructure,Micro-Mobility,Mobile,SaaS,TMT",Venture Capital,www.northzone.com,"Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",29.42,1.18,"London, United Kingdom",www.northzone.com,,,,,,,,,,,,,,,
Hollis McGuire,Northeast Angels Investment Group,"Business Products and Services (B2B),Consumer Products and Services (B2C),Information Technology,Software",,TMT,Angel Group,www.northeastangels.com,Northeast,"Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"Nashua, NH",www.northeastangels.com,,,,,,,,,,,,,,,
William Hudson,Noro-Moseley Partners,"Healthcare Services,IT Services",,"Cybersecurity,HealthTech,Mobile,SaaS",Venture Capital,www.noromoseley.com,United States,"Early Stage,Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",10.00,6.00,"Atlanta, GA",www.noromoseley.com,,,,,,,,,,,,,,,
,Newlight Management,Software,,"Manufacturing,TMT",Venture Capital,www.nlventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.00,1.00,"Jericho, NY",www.nlventures.com,,,,,,,,,,,,,,,
Rob Go,NextView Ventures,"Commercial Products,Commercial Services,Software",,"AdTech,Big Data,CleanTech,Cybersecurity,E-Commerce,HealthTech,Internet of Things,Mobile,SaaS,TMT",Venture Capital,www.nextview.vc,North America,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.10,"Boston, MA",www.nextview.vc,,,,,,,,,,,,,,,
,Nextstage Capital,Software,,TMT,Venture Capital,www.nextstagecapital.com,Mid Atlantic,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.70,0.30,"Audubon, PA",www.nextstagecapital.com,,,,,,,,,,,,,,,
Yvonne Campos,Next Act Fund,"Healthcare Devices and Supplies,Healthcare Technology Systems,Pharmaceuticals and Biotechnology",,"Life Sciences,Manufacturing,TMT",Angel Group,www.nextactfund.com,Pennsylvania,Angel Round,"Convertible Debt,SAFE,Debt",2.00,0.20,"Pittsburgh, PA",www.nextactfund.com,,,,,,,,,,,,,,,
Elizabeth Lindsey,New York Angels,"Apparel and Accessories,Biotechnology,Commercial Services,Consumer Non-Durables,Energy Equipment,Energy Services,Healthcare Devices and Supplies,Healthcare Services,Media,Retail,Software",,"Artificial Intelligence & Machine Learning,CleanTech,Cybersecurity,E-Commerce,eSports,FinTech,HealthTech,InsurTech,Marketing Tech,SaaS",Angel Group,www.newyorkangels.com,New York Metro,"Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.10,"New York, NY",www.newyorkangels.com,,,,,,,,,,,,,,,
Thomas Lavin,New Science Ventures,"Consumer Durables,Healthcare Devices and Supplies,Healthcare Technology Systems,Information Technology,Pharmaceuticals and Biotechnology",,"Digital Health,HealthTech,Life Sciences,TMT",Venture Capital,www.newscienceventures.com,"Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",8.00,2.00,"New York, NY",www.newscienceventures.com,,,,,,,,,,,,,,,
Daniel Borok,Newark Venture Partners,"Business Products and Services (B2B),Software",,"FinTech,HealthTech,HR Tech,Marketing Tech,SaaS",Venture Capital,www.newarkventurepartners.com,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.10,"Newark, NJ",www.newarkventurepartners.com,,,,,,,,,,,,,,,
Jeffrey B. Maters,Network Ventures,"Commercial Services,Software",,"E-Commerce,Internet of Things",Venture Capital,www.networkventures.vc,Midwest,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.10,"Chicago, IL",www.networkventures.vc,,,,,,,,,,,,,,,
Mark Hatch,Network Society Ventures,Software,,Manufacturing,Venture Capital,www.netsoc.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.10,"New York, NY",www.netsoc.vc,,,,,,,,,,,,,,,
Timothy Matthew Schaller,New Enterprise Associates,"Biotechnology,Commercial Services,Energy Services,Exploration,Production and Refining,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Internet Service Providers,Software,Systems and Information Management",,"Artificial Intelligence & Machine Learning,Big Data,CleanTech,Digital Health,E-Commerce,HealthTech,Industrials,Infrastructure,Internet of Things,Life Sciences,LOHAS & Wellness,Manufacturing,SaaS,TMT",Venture Capital,www.nea.com,"Asia, Brazil, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",50.00,0.05,"Lutherville-Timonium, MD",www.nea.com,,,,,,,,,,,,,,,
Thanasis Delistathis,NAV.VC,"Retail,Software",,"Big Data,E-Commerce,FinTech,Manufacturing,Mobile,Robotics and Drones,SaaS,TMT",Venture Capital,www.nav.vc,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",3.00,0.25,"Reston, VA",www.nav.vc,,,,,,,,,,,,,,,
Jean-Jacques Durand,Najeti Capital,Pharmaceuticals and Biotechnology,,"Cybersecurity,Life Sciences",Venture Capital,www.najeti.fr,Europe,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",9.04,4.52,"Madrid, Spain",www.najeti.fr,,,,,,,,,,,,,,,
Omar Hamoui,Mucker Capital,"Commercial Services,Internet Software,IT Services,Services (Non-Financial)",,"AdTech,Mobile,SaaS,TMT",Venture Capital,www.mucker.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.05,"Santa Monica, CA",www.mucker.com,,,,,,,,,,,,,,,
Ranjan Lal,Mosaix Ventures,"Healthcare,Software",,"HealthTech,SaaS",Venture Capital,www.mosaixventures.com,United States,Late Stage,"Convertible Debt,SAFE,Debt",10.00,2.00,"Chicago, IL",www.mosaixventures.com,,,,,,,,,,,,,,,
Kelly Perdew,Moonshots Capital,Software,,"Artificial Intelligence & Machine Learning,E-Commerce",Venture Capital,www.moonshotscapital.com, ,"Angel Round,Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",3.00,0.75,"Los Angeles, CA",www.moonshotscapital.com,,,,,,,,,,,,,,,
Robert Chang,Mogility Capital,Software,,"Mobile,SaaS",Venture Capital,www.mogilitycapital.com,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.05,"New York, NY",www.mogilitycapital.com,,,,,,,,,,,,,,,
Code Cubitt,Mistral Venture Partners,"Business/Productivity Software,Media and Information Services (B2B),Other Information Technology",,"Artificial Intelligence & Machine Learning,B2B Payments,Cryptocurrency/Blockchain,E-Commerce,FinTech,Infrastructure,Internet of Things,Mobile,SaaS,TMT",Venture Capital,www.mistralvp.com,"Canada, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",0.79,0.39,"Ottawa, Canada",www.mistralvp.com,,,,,,,,,,,,,,,
